wl,n
0.2,1.65
0.21,1.65
0.22,1.65
0.23,1.65
0.24,1.65
0.25,1.65
0.26,1.65
0.27,1.65
0.28,1.65
0.29,1.65
0.3,1.65
0.31,1.65
0.32,1.65
0.33,1.65
0.34,1.65
0.35,1.65
0.36,1.65
0.37,1.65
0.38,1.65
0.39,1.65
0.4,1.65
0.41,1.65
0.42,1.65
0.43,1.65
0.44,1.65
0.45,1.65
0.46,1.65
0.47,1.65
0.48,1.65
0.49,1.65
0.5,1.65
0.51,1.65
0.52,1.65
0.53,1.65
0.54,1.65
0.55,1.65
0.56,1.65
0.57,1.65
0.58,1.65
0.59,1.65
0.6,1.65
0.61,1.65
0.62,1.65
0.63,1.65
0.64,1.65
0.65,1.65
0.66,1.65
0.67,1.65
0.68,1.65
0.69,1.65
0.7,1.65
0.71,1.65
0.72,1.65
0.73,1.65
0.74,1.65
0.75,1.65
0.76,1.65
0.77,1.65
0.78,1.65
0.79,1.65
0.8,1.65
0.81,1.65
0.82,1.65
0.83,1.65
0.84,1.65
0.85,1.65
0.86,1.65
0.87,1.65
0.88,1.65
0.89,1.65
0.9,1.65
0.91,1.65
0.92,1.65
